video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=P20Sl4S5kg8&pp=ygUMSW50ZXJzdGF0ZSA1,/@KGETNews,KGET News,Winter weather closes Interstate 5 over the Grapevine,2.3K,11 months,Winter weather closes Interstate 5 over the Grapevine.,2026-01-20 20:38:26.778579
/watch?v=TsfO-ZoR8ag&pp=ygUMSW50ZXJzdGF0ZSA1,/@compdude100,compdude100,Interstate 5 South thru Seattle in 4K (2021-E09),5.6K,4 years,"A video showing the drive on Interstate 5 south through Seattle, WA. This sped-up dashcam video is filmed in 4K in August 2020.",2026-01-20 20:38:26.779333
/watch?v=H-UO07U7BAQ&pp=ygUMSW50ZXJzdGF0ZSA1,/@fox5sd,FOX 5 San Diego,Northbound I-5 closed due to police activity,49K,1 month,"All northbound lanes of a stretch of Interstate 5 between San Diego and Del Mar have been closed due to police activity, ...",2026-01-20 20:38:26.779987
/watch?v=KVGeVB2NF5M&pp=ygUMSW50ZXJzdGF0ZSA1,/@komonews,KOMO News,"Driver without lights on clocks 156 mph on I-5, disappears into fog on New Year's Eve",69K,13 days,A Washington State Patrol (WSP) trooper clocked a driver screaming down Interstate 5 at a speed that's hard to believe. Shortly ...,2026-01-20 20:38:26.780658
/watch?v=2lT3HLNmWwA&pp=ygUMSW50ZXJzdGF0ZSA1,/@KCRA,KCRA 3,Speed Limit Drops In I-5 Work Zone,1.2K,17 years,The California Department of Transportation has lowered the speed limit on Interstate 5 from 65 mph to 55 mph from Fruitridge ...,2026-01-20 20:38:26.782004
/watch?v=yuY-z2mZZuM&pp=ygUMSW50ZXJzdGF0ZSA1,/@KING5Seattle,KING 5 Seattle,Some Seattle commuters opt for alternatives to beat weekend I-5 closure,4.8K,5 months,"Starting late Friday night and lasting through early Monday morning, NB I-5 will be closed from the I-90 interchange to Northeast ...",2026-01-20 20:38:26.783281
/watch?v=2-lQiqB-vXI&pp=ygUMSW50ZXJzdGF0ZSA10gcJCU8KAYcqIYzv,/@cbssacramento,CBS News Sacramento,$39 million project aims to improve I-5 in Sacramento,2.1K,2 years,Caltrans began work Tuesday on a $39 million project aimed at improving safety and easing congestion between Sacramento ...,2026-01-20 20:38:26.783886
/watch?v=BJHu6OPDMhM&pp=ygUMSW50ZXJzdGF0ZSA1,/@abc10news,ABC 10 News,I-5 freeway reopens following hours-long closure,25K,1 month,Southbound lanes along Interstate 5 near Del Mar Heights Road have reopened following an hours-long closure Friday due to ...,2026-01-20 20:38:26.784552
/watch?v=wa_i9hvnSe0&pp=ygUMSW50ZXJzdGF0ZSA1,/@BeaverGeography,Beaver Geography,5 Places The US Needs Interstates,147K,3 years,"5 Places The US Needs Interstates ✵In June 1956, the first portion of the interstate system was opened in Central Missouri. from ...",2026-01-20 20:38:26.785256
/watch?v=cPsFgyToKiE&pp=ygUMSW50ZXJzdGF0ZSA1,/@fox5sd,FOX 5 San Diego,Pursuit Ends With Driver Jumping Over Barrier On I-5 Freeway,6.3K,3 years,Commander Captain Taylor Cooper stated in a press release Tuesday that officers attempted to pull over a white Mercedes Benz ...,2026-01-20 20:38:26.786041
/watch?v=zn6QYTCLUuY&pp=ygUGSS01IFdB,/@fox13seattle,FOX 13 Seattle,WSDOT begins fall road construction with multiple I-5 and I-90 closures,5.3K,3 months,Drivers should expect delays this weekend as WSDOT begins a new round of fall construction projects. The closures will affect ...,2026-01-20 20:38:41.512014
